source,source_game_id,event_id,event_type,game_date,time_control,rated,player_id,opponent_id,player_color,official_elo,opponent_elo,result,avg_acl,account_status,is_banned,label,ingested_at_utc
lichess,nHJyRTIG,lichess-event,online,2026-02-20,blitz,true,CalisthenicsBoy,Andrey11976,black,2981,2804,win,27.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,ivIdlD9d,lichess-event,online,2026-02-20,blitz,true,CalisthenicsBoy,Andrey11976,white,2978,2807,win,40.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,ivIdlD9d,lichess-event,online,2026-02-20,blitz,true,Andrey11976,CalisthenicsBoy,black,2807,2978,loss,54.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,HMjWFW1l,lichess-event,online,2026-02-20,blitz,true,mindSet2020,CalisthenicsBoy,white,2811,2980,draw,13.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,HMjWFW1l,lichess-event,online,2026-02-20,blitz,true,CalisthenicsBoy,mindSet2020,black,2980,2811,draw,13.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,fFEUbdjs,lichess-event,online,2026-02-20,blitz,true,CalisthenicsBoy,mindSet2020,white,2977,2814,win,18.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,fFEUbdjs,lichess-event,online,2026-02-20,blitz,true,mindSet2020,CalisthenicsBoy,black,2814,2977,loss,36.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,kiDM8Jr1,lichess-event,online,2026-02-20,blitz,true,mindSet2020,CalisthenicsBoy,white,2812,2979,draw,12.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,kiDM8Jr1,lichess-event,online,2026-02-20,blitz,true,CalisthenicsBoy,mindSet2020,black,2979,2812,draw,12.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,Clkw0ozu,lichess-event,online,2026-02-20,blitz,true,CalisthenicsBoy,Agent_Kapov,white,2977,2737,win,8.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,Clkw0ozu,lichess-event,online,2026-02-20,blitz,true,Agent_Kapov,CalisthenicsBoy,black,2737,2977,loss,21.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,gfDW65vl,lichess-event,online,2026-02-20,blitz,true,CalisthenicsBoy,Mariano_Nelson_II,white,2975,2749,win,13.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,gfDW65vl,lichess-event,online,2026-02-20,blitz,true,Mariano_Nelson_II,CalisthenicsBoy,black,2749,2975,loss,26.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,Vvgy0lQV,lichess-event,online,2026-02-20,blitz,true,SuperbAmir,CalisthenicsBoy,white,2745,2972,loss,36.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,Vvgy0lQV,lichess-event,online,2026-02-20,blitz,true,CalisthenicsBoy,SuperbAmir,black,2972,2745,win,26.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,iZonC7k2,lichess-event,online,2026-02-20,blitz,true,Epichess95,CalisthenicsBoy,white,2757,2969,loss,35.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,iZonC7k2,lichess-event,online,2026-02-20,blitz,true,CalisthenicsBoy,Epichess95,black,2969,2757,win,23.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,TgMVxbxF,lichess-event,online,2026-02-19,blitz,true,CalisthenicsBoy,Forester_19,white,2967,2741,win,24.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,TgMVxbxF,lichess-event,online,2026-02-19,blitz,true,Forester_19,CalisthenicsBoy,black,2741,2967,loss,40.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,zNHuZgmh,lichess-event,online,2026-02-19,blitz,true,Forester_19,CalisthenicsBoy,white,2737,2970,draw,17.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,zNHuZgmh,lichess-event,online,2026-02-19,blitz,true,CalisthenicsBoy,Forester_19,black,2970,2737,draw,16.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,l3VSF8Pi,lichess-event,online,2026-02-19,blitz,true,CalisthenicsBoy,athena-pallada,white,2965,2928,win,20.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,l3VSF8Pi,lichess-event,online,2026-02-19,blitz,true,athena-pallada,CalisthenicsBoy,black,2928,2965,loss,40.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,v3KwYKyY,lichess-event,online,2026-02-19,blitz,true,CalisthenicsBoy,cutemouse83,white,2967,2891,draw,11.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,v3KwYKyY,lichess-event,online,2026-02-19,blitz,true,cutemouse83,CalisthenicsBoy,black,2891,2967,draw,10.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,OiJ2UeOc,lichess-event,online,2026-02-19,blitz,true,Trojanhorse2500,CalisthenicsBoy,white,2795,2969,draw,23.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,OiJ2UeOc,lichess-event,online,2026-02-19,blitz,true,CalisthenicsBoy,Trojanhorse2500,black,2969,2795,draw,23.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,JwtM2Eld,lichess-event,online,2026-02-18,blitz,true,Djokovic26,CalisthenicsBoy,white,2733,2966,loss,41.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,JwtM2Eld,lichess-event,online,2026-02-18,blitz,true,CalisthenicsBoy,Djokovic26,black,2966,2733,win,24.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,Ki8sGCb0,lichess-event,online,2026-02-18,blitz,true,CalisthenicsBoy,trainiing123,white,2963,2835,win,17.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,Ki8sGCb0,lichess-event,online,2026-02-18,blitz,true,trainiing123,CalisthenicsBoy,black,2835,2963,loss,30.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,oOAZFETb,lichess-event,online,2026-02-18,blitz,true,trainiing123,CalisthenicsBoy,white,2839,2959,loss,46.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,oOAZFETb,lichess-event,online,2026-02-18,blitz,true,CalisthenicsBoy,trainiing123,black,2959,2839,win,28.0,active,false,clean,2026-03-02T16:21:47+00:00
